Unnamed: 0,RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,RV,logg,[Fe/H],Dist,PQSO,PGal,Pstar,PWD,Pbin,Teff,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Evol,SpType-ELS,Flags-HS,EWHa,e_EWHa,f_EWHa,Cluster,Cluster_KMeans,Cluster_DBSCAN
91553.0,49.43529187992001,40.95750223722,2.39307576211589e+17,0.0573,0.0544,1.5168,0.0763,5.087,4.388,0.086,-2.573,0.08,4.456,13.909601,0.0028399999999999,14.287104,0.0031079999999999,13.326979,0.003863,12.971175,0.058638,-9.12,4.3412,-0.7575,627.7903,0.0,0.0,0.99995685,0.0,4.312e-05,5622.2373,0.3301,0.2738,0.3459,0.1972,0.1487,4.6309,1.0889,1.1123,1.1169958,0.921,12.220999999999998,0.5458592,372.0,3.0,92.0,0.11717,0.02593,0.0,8,8,-1
41023.0,43.54817022606,28.73678736077,1.2891712417994355e+17,0.0149,0.0132,2.0618,0.0166,23.02,19.938,0.019,-11.507,0.016,1.002,10.723198,0.002759,11.251239,0.002886,10.036276,0.003799,9.774534,0.010368,16.08,3.3661,-0.0153,480.702,0.0,0.0,0.99998283,0.0,1.714e-05,5611.1675,0.7717,0.6195,0.7888,0.4589999999999999,0.3298,1.6179,4.3303,4.1236,15.191838,1.812,1.527,0.22408839,449.0,4.0,94.0,0.06905,0.01556,0.0,5,5,-1
21245.0,259.32747539579,-56.08742782136999,5.922546222267917e+18,0.0556,0.0463,0.3725,0.0782,4.702,-0.882,0.0579999999999999,-4.619,0.05,1.048,17.095617,0.002921,16.989473,0.009261,17.055243,0.0153289999999999,12.41566552393817,0.06536518378525784,-5.882807750789657,4.6052,-0.9915,14771.027,0.0,0.0,0.99999785,2.14e-06,0.0,15877.681,0.2569,0.2538,0.2954,0.1594,0.136,0.9724,1.421,1.4589,124.61478,1.8418721690735889,3.7764345571077382,1.36924,364.1904393556501,6.0,999.0,0.1217099999999999,0.13312,0.0,7,7,-1
21227.0,51.92351910317,20.6428599416,5.798158175727424e+16,0.0195,0.0139999999999999,0.9872,0.02,8.318,3.672,0.025,-7.463999999999999,0.019,1.0,14.426914000000002,0.002768,14.862853,0.003193,13.813217000000002,0.003894,13.691828,0.091848,-3.59,4.0851,-0.6741,966.266,0.0,0.0,0.9999875,0.0,1.251e-05,5985.962,0.7715,0.6413,0.8106,0.4608,0.3498,3.856,1.3624,1.3717,2.1530952,1.105,5.935,0.37930638,354.0,2.0,91.0,0.12399,0.03188,0.0,8,8,-1
65927.0,82.74944572975001,41.28465798163,1.9434198304308224e+17,0.0186,0.0146,0.9147,0.0205,2.201,-0.919,0.025,-2.0,0.018,1.004,14.428594,0.002861,14.849575,0.005947,13.808967,0.005301,13.54011,0.070945,6.69,3.9314,-0.5255,1181.0441,0.0,0.0,0.99996877,0.0,3.124e-05,5755.391,0.5878,0.4861,0.6148,0.3509,0.2638,3.5786,1.6818,1.4829,2.1567025,1.021,9.632,0.3392987,426.0,3.0,92.0,0.02891,0.03206,0.0,8,8,-1
34352.0,358.45129674041,58.4919454651,1.999189529766704e+18,0.0135,0.0143,0.4676,0.0191,2.543,-2.2030000000000003,0.018,-1.27,0.018,0.942,11.869403,0.002781,13.648303,0.003336,10.612535,0.0038759999999999,10.024388,0.00704,-55.98,1.2643,0.718,2740.7283,0.0,0.0,0.9999949,0.0,5.09e-06,3874.5037,3.0556,1.9771,2.8189,1.6897,1.129,-2.2738,75.1008,56.1838,639.5318,1.917,1.357,0.03222072,1244.0,5.0,92.0,0.1073799999999999,0.01851,1.0,4,4,-1
60773.0,78.19575131991,35.98637767315,1.8546717186050125e+17,0.0174,0.0097,1.5969,0.02,5.274,0.435,0.023,-5.256,0.017,1.089,14.16221,0.00276,14.767686,0.002918,13.406589000000002,0.003819,13.114524,0.047109,11.27,4.1341,-0.3621,631.0809,0.0,0.0,0.9999817,0.0,1.834e-05,5821.807,1.3879,1.1167,1.4307,0.8229,0.6078,4.0374,1.3139,1.2741,1.6570787,1.0,9.387,0.40460506,378.0,3.0,93.0,0.09729,0.01805,0.0,8,8,-1
14468.0,61.23513231479,16.12317731676,4.545041337600499e+16,0.0274,0.0164,1.1999,0.0296,9.2,9.199,0.038,0.087,0.02,1.669,13.865829000000002,0.002764,14.415057,0.0029649999999999,13.151953,0.0038229999999999,12.827388,0.037797,-7.44,4.1773,-0.0753,752.9675,0.0,0.0,0.9999795,0.0,2.047e-05,6667.0996,1.6153,1.3327,1.6839,0.9632,0.7207,3.0788,1.5417,1.5987,4.510101000000001,1.371,1.973,0.4916113,231.0,2.0,92.0,0.17009,0.01832,0.0,8,8,-1
81380.0,58.16251729172,30.396194459170005,1.680299482346839e+17,0.0201,0.0146,1.4387,0.0228,27.487,21.447,0.034,-17.192,0.02,1.052,14.018344,0.002761,14.583863,0.002914,13.29812,0.003811,12.916322,0.060292,24.2,4.1127,-0.603,646.2903,0.0,0.0,0.99998,0.0,2.003e-05,6010.1377,1.3295,1.0829,1.3815,0.7901,0.5914,3.888,1.3294,1.4001,2.2988076,1.139,5.197,0.39442474,340.0,2.0,95.0,0.10101,0.02197,0.0,8,8,-1
35664.0,321.65741416653,20.712633125270003,1.790365402331451e+18,0.0238,0.0158,5.3148,0.0278,28.921,-1.722,0.031,-28.87,0.017,1.005,7.670438000000001,0.002767,7.710779,0.002815,7.565414,0.003799,7.505994999999999,0.004661,4.82,4.0464,-0.3473,191.1222,0.0,0.0,0.99655795,2e-08,0.00344205,9618.283,0.3172,0.302,0.3556,0.1949,0.1607,0.9392,2.2555,2.2371,38.604465000000005,2.337,0.377,0.58990115,201.0,0.0,91.0,0.46092,0.01662,0.0,5,5,-1
